pos_tag,core_word_index,features,freq,meaning,symbol,examples
JJ,-,"[{""pos_tag"": ""AD""}, {""pos_tag"": ""JJ""}]",575,-,AD|JJ,[]
NN,1,"[{""pos_tag"": ""OD""}, {""pos_tag"": ""NN""}]",518,-,OD|NN,[]
VV,1,"[{""pos_tag"": ""AD""}, {""pos_tag"": ""VV""}]",477,-,AD|VV,[]
NN,2,"[{""pos_tag"": ""OD""}, {""pos_tag"": ""M""}, {""pos_tag"": ""NN""}]",437,-,OD|M|NN,[]
NN,3,"[{""pos_tag"": ""CD""}, {""pos_tag"": ""M""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",375,-,CD|M|DEG|NN,[]
NN,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""DEG""}]",350,-,NN|DEG,[]
PP,-,"[{""pos_tag"": ""P""}, {""pos_tag"": ""NN""}]",350,-,P|NN,[]
PP,-,"[{""pos_tag"": ""P""}, {""pos_tag"": ""NN""}, {""pos_tag"": ""LC""}]",350,-,P|NN|LC,[]
PP,-,"[{""pos_tag"": ""P""}, {""pos_tag"": ""NT""}]",350,-,P|NT,[]
VV,-,"[{""pos_tag"": ""PP""}, {""pos_tag"": ""VV""}]",350,-,PP|VV,[]
VV,-,"[{""pos_tag"": ""NT""}, {""pos_tag"": ""VV""}]",1350,-,NT|VV,[]
VV,-,"[{""pos_tag"": ""PP""}, {""pos_tag"": ""VV""}, {""pos_tag"": ""LC""}]",350,-,PP|VV|LC,[]
VV,-,"[{""pos_tag"": ""VV""}, {""pos_tag"": ""PP""}]",350,-,VV|PP,[]
NN,-,"[{""word"": ""《""}, {""special_symbol"": ""*""}, {""word"": ""》""}]",350,-,《|*|》,[]
NN,0,"[{""pos_tag"": ""NN""}, {""word"": ""（""}, {""special_symbol"": ""*""}, {""word"": ""）""}]",350,-,NN|（|*|）,[]
VV,0,"[{""pos_tag"": ""VV""}, {""word"": ""（""}, {""special_symbol"": ""*""}, {""word"": ""）""}]",350,-,VV|（|*|）,[]
NN,0,"[{""pos_tag"": ""NN""}, {""word"": ""(""}, {""special_symbol"": ""*""}, {""word"": "")""}]",350,-,NN|(|*|),[]
VV,0,"[{""pos_tag"": ""VV""}, {""word"": ""(""}, {""special_symbol"": ""*""}, {""word"": "")""}]",350,-,VV|(|*|),[]
NN,-,"[{""pos_tag"": ""NN""}, {""word"": ""、""}, {""pos_tag"": ""NN""}]",350,-,NN|、|NN,[]
AD,-,"[{""pos_tag"": ""AD""}, {""pos_tag"": ""AD""}]",350,-,AD|AD,[]
NN,-,"[{""pos_tag"": ""PN""}]",350,-,PN,[]
NN,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""CC""}, {""pos_tag"": ""NN""}]",350,-,NN|CC|NN,[]
PP,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""LC""}]",350,-,NN|LC,[]
PP,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""VV""}, {""pos_tag"": ""LC""}]",350,-,NN|VV|LC,[]
NN,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""LC""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",350,-,NN|LC|DEG|NN,[]
VV,-,"[{""pos_tag"": ""VC""}]",350,-,VC,[]
VV,-,"[{""pos_tag"": ""VV""}, {""pos_tag"": ""AS""}]",350,-,VV|AS,[]
NN,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""ETC""}]",350,-,NN|ETC,[]
JJ,-,"[{""pos_tag"": ""VA""}]",350,-,VA,[]
VV,-,"[{""pos_tag"": ""VE""}]",350,-,VE,[]
VV,-,"[{""pos_tag"": ""SB""}, {""pos_tag"": ""VV""}]",350,-,SB|VV,[]
VV,-,"[{""pos_tag"": ""SB""}, {""pos_tag"": ""NN""}, {""pos_tag"": ""VV""}]",350,-,SB|NN|VV,[]
PP,-,"[{""pos_tag"": ""BA""}, {""pos_tag"": ""NN""}]",350,-,BA|NN,[]
PP,-,"[{""pos_tag"": ""BA""}, {""pos_tag"": ""NN""}, {""word"": ""给""}]",350,-,BA|NN|给,[]
NN,-,"[{""concept"": 210, ""word"": ""地点""}, {""word"": ""人""}]",350,-,地点|人,[]
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 210, ""word"": ""地点""}]",350,-,地点|地点,[]
NN,-,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 524, ""word"": ""运动""}, {""word"": ""运动员""}]",350,-,地点|运动|运动员,[]
NN,-,"[{""concept"": 524, ""word"": ""运动""}, {""word"": ""运动员""}]",350,-,运动|运动员,[]
NN,1,"[{""concept"": 430, ""word"": ""机构""}, {""concept"": 1255, ""word"": ""职务""}]",350,-,机构|职务,[]
NN,1,"[{""concept"": 1385, ""word"": ""政党""}, {""word"": ""党员""}]",350,-,政党|党员,[]
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 171, ""word"": ""学校""}]",577,,地点|学校,"[""[\""东莞\"", \""中考\""]"", ""[\""上海\"", \""中小学\""]"", ""[\""深圳\"", \""中考\""]"", ""[\""成都\"", \""师范\""]"", ""[\""德国\"", \""大学\""]""]"
NN,1,"[{""concept"": 1277, ""word"": ""疾病""}, {""word"": ""医院""}]",552,,疾病|医院,"[""[\""妇科\"", \""医院\""]"", ""[\""男科\"", \""医院\""]"", ""[\""肛肠\"", \""医院\""]"", ""[\""脑病\"", \""医院\""]"", ""[\""肝病\"", \""医院\""]""]"
NN,1,"[{""concept"": 246, ""word"": ""过程""}, {""word"": ""方法""}]",500,,过程|方法,"[""[\""计算\"", \""方法\""]"", ""[\""学习\"", \""方法\""]"", ""[\""治疗\"", \""方法\""]"", ""[\""繁殖\"", \""方法\""]"", ""[\""研究\"", \""方法\""]""]"
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 725, ""word"": ""企业""}]",469,,地点|企业,"[""[\""广州\"", \""科龙\""]"", ""[\""广州\"", \""索尼\""]"", ""[\""北京\"", \""新文化\""]"", ""[\""西安\"", \""松下\""]"", ""[\""南京\"", \""海尔\""]""]"
NN,-,"[{""concept"": 86, ""word"": ""公司""}, {""word"": ""云""}]",429,,公司|云,"[""[\""网易\"", \""云\""]"", ""[\""金蝶\"", \""云\""]"", ""[\""百度\"", \""云\""]"", ""[\""腾讯\"", \""云\""]""]"
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 86, ""word"": ""公司""}]",406,,地点|公司,"[""[\""上海\"", \""海鼎\""]"", ""[\""杭州\"", \""开利\""]"", ""[\""广州\"", \""科龙\""]"", ""[\""南京\"", \""日立\""]"", ""[\""深圳\"", \""新科\""]""]"
NN,-,"[{""concept"": 725, ""word"": ""企业""}, {""word"": ""云""}]",331,,企业|云,"[""[\""腾讯\"", \""云\""]"", ""[\""tcl\"", \""云\""]"", ""[\""百度\"", \""云\""]""]"
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 2129, ""word"": ""职业""}]",183,,地点|职业,"[""[\""山东\"", \""公务员\""]"", ""[\""浙江省\"", \""公务员\""]"", ""[\""黑龙江省\"", \""公务员\""]"", ""[\""北京\"", \""公务员\""]"", ""[\""广东省\"", \""公务员\""]""]"
NN,1,"[{""concept"": 492, ""word"": ""人物""}, {""word"": ""攻略""}]",128,,人物|攻略,"[""[\""萝卜\"", \""攻略\""]"", ""[\""典韦\"", \""攻略\""]"", ""[\""文\"", \""攻略\""]"", ""[\""周瑜\"", \""攻略\""]"", ""[\""刘邦\"", \""攻略\""]""]"
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""word"": ""大学""}]",3988,,,"[""[\""中山\"", \""大学\""]"", ""[\""东北\"", \""大学\""]"", ""[\""浙江\"", \""大学\""]"", ""[\""武汉\"", \""大学\""]"", ""[\""北京\"", \""大学\""]""]"
NN,1,"[{""word"": ""导演""}, {""concept"": 492, ""word"": ""人物""}]",2764,,,"[""[\""导演\"", \""陈晓卿\""]"", ""[\""导演\"", \""关锦鹏\""]"", ""[\""导演\"", \""张艺谋\""]"", ""[\""导演\"", \""林华全\""]"", ""[\""导演\"", \""赵青\""]""]"
NN,1,"[{""concept"": 2608184, ""word"": ""组织机构""}, {""concept"": 1255, ""word"": ""职务""}]",2423,,,"[""[\""公司\"", \""董事长\""]"", ""[\""协会\"", \""副会长\""]"", ""[\""教研\"", \""组长\""]"", ""[\""党委\"", \""副书记\""]"", ""[\""公司\"", \""主任\""]""]"
NN,1,"[{""word"": ""歌手""}, {""concept"": 492, ""word"": ""人物""}]",2318,,,"[""[\""歌手\"", \""郑秀文\""]"", ""[\""歌手\"", \""张韶涵\""]"", ""[\""歌手\"", \""刘德华\""]"", ""[\""歌手\"", \""高明骏\""]"", ""[\""歌手\"", \""潘美辰\""]""]"
NN,0,"[{""concept"": 492, ""word"": ""人物""}, {""word"": ""导演""}]",2224,,,"[""[\""张艺谋\"", \""导演\""]"", ""[\""林兆华\"", \""导演\""]"", ""[\""赵宝刚\"", \""导演\""]"", ""[\""谢铁骊\"", \""导演\""]"", ""[\""张子恩\"", \""导演\""]""]"
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""concept"": 2608184, ""word"": ""组织机构""}]",2092,,,"[""[\""台湾\"", \""竹联帮\""]"", ""[\""北京\"", \""电视台\""]"", ""[\""日本\"", \""电视台\""]"", ""[\""浙江\"", \""美术馆\""]"", ""[\""额敏县\"", \""纪委\""]""]"
NN,1,"[{""concept"": 2608433, ""word"": ""体育项目""}, {""word"": ""运动员""}]",927,,,"[""[\""佩剑\"", \""运动员\""]"", ""[\""足球\"", \""运动员\""]"", ""[\""田径\"", \""运动员\""]"", ""[\""乒乓球\"", \""运动员\""]"", ""[\""举重\"", \""运动员\""]""]"
NN,1,"[{""word"": ""作家""}, {""concept"": 492, ""word"": ""人物""}]",766,,,"[""[\""作家\"", \""李善美\""]"", ""[\""作家\"", \""冯德英\""]"", ""[\""作家\"", \""赵廉\""]"", ""[\""作家\"", \""明晓溪\""]"", ""[\""作家\"", \""胡万春\""]""]"
NN,-,"[{""concept"": 171, ""word"": ""学校""}, {""concept"": 1705, ""word"": ""学科""}]",535,,,"[""[\""中科院\"", \""声学\""]"", ""[\""大学\"", \""哲学\""]"", ""[\""大学\"", \""电子学\""]"", ""[\""大学\"", \""法学\""]"", ""[\""大学\"", \""新闻学\""]""]"
NN,1,"[{""word"": ""大学""}, {""concept"": 11081038, ""word"": ""学科专业""}]",427,,,"[""[\""大学\"", \""本科\""]"", ""[\""大学\"", \""财政学\""]""]"
NN,1,"[{""concept"": 827, ""word"": ""机关""}, {""concept"": 1255, ""word"": ""职务""}]",425,,,"[""[\""党组\"", \""书记\""]"", ""[\""党组\"", \""成员\""]"", ""[\""监察局\"", \""副局长\""]"", ""[\""法院\"", \""书记\""]"", ""[\""党组\"", \""副书记\""]""]"
NN,1,"[{""word"": ""大学""}, {""concept"": 1705, ""word"": ""学科""}]",380,,,"[""[\""大学\"", \""哲学\""]"", ""[\""大学\"", \""电子学\""]"", ""[\""大学\"", \""法学\""]"", ""[\""大学\"", \""传播学\""]"", ""[\""大学\"", \""新闻学\""]""]"
NN,-,"[{""concept"": 1705, ""word"": ""学科""}, {""word"": ""专业""}]",350,,,"[""[\""法学\"", \""专业\""]"", ""[\""声学\"", \""专业\""]"", ""[\""生理\"", \""专业\""]"", ""[\""哲学\"", \""专业\""]"", ""[\""数学\"", \""专业\""]""]"
NN,1,"[{""concept"": 1705, ""word"": ""学科""}, {""concept"": 4760, ""word"": ""学位""}]",343,,,"[""[\""历史学\"", \""博士\""]"", ""[\""哲学\"", \""硕士\""]"", ""[\""法学\"", \""硕士\""]"", ""[\""历史学\"", \""硕士\""]"", ""[\""哲学\"", \""博士\""]""]"
NN,1,"[{""concept"": 210, ""word"": ""地点""}, {""word"": ""卫视""}]",339,,,"[""[\""北京\"", \""卫视\""]"", ""[\""广东\"", \""卫视\""]"", ""[\""安徽\"", \""卫视\""]"", ""[\""天津\"", \""卫视\""]"", ""[\""江苏\"", \""卫视\""]""]"
